id_area,td_navyj_km_6,td_navyj_km_5,td_navyj_km_4
10001,0.003112718,31.90392159,30.74289419
10025,0.610430275,16.73255823,17.42431908
10049,0.001135573,12.05766862,10.2697084
10070,0.000500543,18.83016592,19.47912521
10224,0.609569718,26.16480325,26.66258166
14016,0.000246954,16.03041731,16.70411526
14020,0.606728961,9.12062638,8.354249223
14024,0.000432331,39.17598544,40.40471494
14011,0.606834988,20.29029675,19.86711563
14028,0.607089477,44.46357719,41.48138368
14029,0.607053371,46.55968034,45.58435478
14010,9.43E-05,7.503644053,6.334604639
14032,0.606992928,41.27125149,40.40471494
14033,0.000453319,30.42684773,28.21256306
14021,0.606774928,13.38439497,11.52154942
14015,0.606856447,16.61555354,14.68648838
14023,0.606954421,32.36070782,31.11891654
14037,0.000152358,11.76813029,11.52154942
14025,0.606736387,5.88231714,3.166435572
14022,0.000297025,23.52047187,23.03046169
14014,0.606674396,4.746582577,5.190021728
14041,0.606897506,27.78261835,26.19421236
14042,0.606850383,21.90494548,23.03046169
14017,0.60682319,18.67611785,19.86711563
14018,0.606888476,25.13616662,23.03046169
14004,0.606800623,15.00012999,14.68648838
14046,0.607019636,41.8197472,40.40471494
14034,0.607042874,30.42684773,31.37423801
14035,0.000478076,31.45667033,28.21256306
14036,0.000429101,38.62735677,36.30067873
8010,0.000597408,20.96494362,20.53934849
8069,0.000447438,19.46468086,17.59870671
8030,0.000155234,2.691760874,4.107937455
8067,0.613552161,21.56111702,21.7067934
8012,0.000522286,24.85213616,22.87533094
8050,0.000216054,4.379687171,4.107937455
8053,0.00121664,65.57466939,66.29188884
8054,0.613717481,34.43027336,32.26010051
8008,0.000463791,15.27205593,16.4315432
8003,0.614424048,7.478136561,9.37966141
8007,0.000446124,9.760139491,8.577669823
8039,7.38E-05,2.691530346,5.273798509
8076,0.000404893,8.073232474,8.577669823
8023,0.614514803,7.069011701,8.577669823
8016,0.613087901,1.669353673,3.271209055
8056,0.613393914,25.16266922,24.6514315
8064,0.002721019,104.5041252,102.3862155
8063,0.002764497,101.8364099,102.3862155
8058,0.000318871,14.67975867,16.43459985
8029,0.613517698,25.74646104,25.79481693
8014,0.003081341,94.40478724,97.15753928
8062,0.612468518,100.3168699,98.28173286
8040,0.002817454,95.76560723,95.30729138
8011,0.002251983,70.77102228,71.3928828
10182,0.003018393,38.85312397,39.08168454
10143,0.003832939,143.2815893,143.9103931
10111,0.003864984,134.8902009,135.6893908
10017,0.003339235,19.41675112,17.47977436
10142,0.003588645,117.5733992,118.2206401
10138,0.609653297,145.3793579,143.9103931
10078,0.003314876,17.84235376,17.47977436
10091,0.002889973,25.19092207,21.59424872
10092,0.003795534,141.183771,139.7999076
10124,0.003373424,19.41675112,17.47977436
